engine,agents,sessions,motions,actions,narrative,holdsAt,memory
simple,7,1,1,13,805428260,318178,4870576
simple,7,1,1,13,632223312,266337,256232632
simple,7,1,1,13,587253652,244759,109589464
simple,7,1,1,13,581883139,286183,239576904
simple,7,1,1,13,610989738,348064,152366680
simple,7,1,1,13,588341264,194606,164277696
simple,7,1,1,13,646588895,188583,122391872
simple,7,1,1,13,568412185,191857,85868848
simple,7,1,1,13,606805101,210440,475055632
simple,7,1,1,13,582074411,192736,184178960
simple,7,1,2,24,1321692231,211376,189358320
simple,7,1,2,24,1306076821,202855,228859928
simple,7,1,2,24,1305613861,241110,306846360
simple,7,1,2,24,1330891108,235438,399774128
simple,7,1,2,24,1287531401,206344,18839592
simple,7,1,2,24,1299292015,219539,184403784
simple,7,1,2,24,1292348116,230867,377509880
simple,7,1,2,24,1298802819,237511,177588816
simple,7,1,2,24,1310970892,237625,47670664
simple,7,1,2,24,1346075155,217100,337952408
simple,7,1,3,35,2544314092,225019,54296976
simple,7,1,3,35,2444239633,215773,242686952
simple,7,1,3,35,2484886050,214681,101404152
simple,7,1,3,35,2540135218,221825,182008040
simple,7,1,3,35,2503392016,221909,109894992
simple,7,1,3,35,2487773171,262257,159670176
simple,7,1,3,35,2453843745,247858,29617128
simple,7,1,3,35,2455612724,212264,121271560
simple,7,1,3,35,2508334414,218039,123647952
simple,7,1,3,35,2522853774,219633,102109296
simple,7,1,4,46,4120950805,258111,37972960
simple,7,1,4,46,4174315244,256713,84643656
simple,7,1,4,46,4080060629,229783,439168928
simple,7,1,4,46,4051832923,258348,292115560
simple,7,1,4,46,4110234715,231029,114953888
simple,7,1,4,46,4066316349,239619,45531000
simple,7,1,4,46,4062505316,227082,162126816
simple,7,1,4,46,4102856440,239510,44149136
simple,7,1,4,46,4134696173,253962,62577168
simple,7,1,4,46,4121557833,230750,285825256
simple,7,1,5,57,6448390613,252558,78133544
simple,7,1,5,57,6277695615,302068,62651792
simple,7,1,5,57,6281791015,249100,105717200
simple,7,1,5,57,6341041211,263161,145711616
simple,7,1,5,57,6292365342,242003,107243792
simple,7,1,5,57,6288934500,243529,88510616
simple,7,1,5,57,6184472770,244038,164986544
simple,7,1,5,57,6645684170,248642,112570640
simple,7,1,5,57,6256864037,249728,119249760
simple,7,1,5,57,6358484734,244887,93622432
simple,7,1,6,68,9236333125,296876,125840800
simple,7,1,6,68,9178127584,297729,48513704
simple,7,1,6,68,9165117390,282925,28324808
simple,7,1,6,68,9302565073,283994,23894672
simple,7,1,6,68,9171694837,277787,99120912
simple,7,1,6,68,9411372049,280519,48778800
simple,7,1,6,68,9229255048,261285,79348472
simple,7,1,6,68,9130176631,261885,179055872
simple,7,1,6,68,9169133701,263301,186743472
simple,7,1,6,68,9143895307,282830,29115896
simple,7,1,7,79,12968348817,284531,66735056
simple,7,1,7,79,13267204155,286741,43166656
simple,7,1,7,79,13366249983,278618,39771080
simple,7,1,7,79,13164848894,384090,93726168
simple,7,1,7,79,13036025686,275288,106911776
simple,7,1,7,79,13169590128,273842,33161072
simple,7,1,7,79,13078096614,331958,38682856
simple,7,1,7,79,13164515520,284657,90011712
simple,7,1,7,79,13077661959,273423,96696568
simple,7,1,7,79,13127714496,280602,35802712
simple,7,1,8,90,17813126123,317716,80862320
simple,7,1,8,90,17678020483,288648,75286088
simple,7,1,8,90,17877351743,303581,72703424
simple,7,1,8,90,18008842093,307260,41731288
simple,7,1,8,90,17958094927,302586,57352912
simple,7,1,8,90,18002272383,297452,150929800
simple,7,1,8,90,17767911889,336889,77525392
simple,7,1,8,90,17835202954,291697,99159352
simple,7,1,8,90,17982953820,290639,34816288
simple,7,1,8,90,17868943607,286994,50335728
simple,7,1,9,101,24263089372,335988,36286320
simple,7,1,9,101,23998761211,330295,18475456
simple,7,1,9,101,24099408522,310674,25573024
simple,7,1,9,101,24090104273,308610,18520000
simple,7,1,9,101,23815692802,327054,43961648
simple,7,1,9,101,24184667816,320732,64885296
simple,7,1,9,101,24159777828,326042,63064552
simple,7,1,9,101,24120453283,447692,62823840
simple,7,1,9,101,24434387613,332172,101414312
simple,7,1,9,101,23942391215,316481,90197504
simple,7,1,10,112,32125573148,340899,31128408
simple,7,1,10,112,31220536563,325771,78856024
simple,7,1,10,112,31415988306,346233,47543504
simple,7,1,10,112,31309140139,315591,69854016
simple,7,1,10,112,31461384597,319878,55285504
simple,7,1,10,112,31569282185,333519,52743360
simple,7,1,10,112,31514727542,319622,125952440
simple,7,1,10,112,31186681935,318195,95182648
simple,7,1,10,112,31450592761,332584,138244368
simple,7,1,10,112,32923949918,339341,33837216
