engine,agents,sessions,motions,actions,narrative,holdsAt,memory
cec,7,1,10,112,37121290585,447904,693217256
cec,7,1,10,112,37040431786,447177,227582880
cec,7,1,10,112,38904400724,499897,26750904
cec,7,1,10,112,44844595086,463005,414854120
cec,7,1,10,112,40445664996,464929,130186408
cec,7,1,10,112,39218855353,415411,491109208
cec,7,1,10,112,36374534449,420026,62108616
cec,7,1,10,112,40055983026,439506,200725136
cec,7,1,10,112,37814168874,426302,325057192
cec,7,1,10,112,39277656287,431402,285233816
cec,7,1,10,112,38875363555,505008,577857672
cec,7,1,10,112,38922067854,414738,60091856
cec,7,1,10,112,37505622661,404571,223928976
cec,7,1,10,112,37897743177,441842,101704968
cec,7,1,10,112,37799272081,461702,527334968
cec,7,1,10,112,36728085600,425301,88207672
cec,7,1,10,112,40777264877,460066,359356752
cec,7,1,10,112,40278612802,425593,522320376
cec,7,1,10,112,36128676267,402779,139591248
cec,7,1,10,112,37927450016,382166,158218392
cec,7,1,10,112,37329816643,372524,680434952
cec,7,1,10,112,39539480465,414324,184103288
cec,7,1,10,112,37065693874,437884,506009648
cec,7,1,10,112,36682958495,401905,549376560
cec,7,1,10,112,37541126118,457008,425193080
cec,7,1,10,112,37240889894,398978,37066088
cec,7,1,10,112,38339642114,380979,412688456
cec,7,1,10,112,38352912111,399265,408706192
cec,7,1,10,112,37768526117,410278,91931664
cec,7,1,10,112,37514012169,393037,95063440
cec,7,1,10,112,35875778107,384356,50660328
cec,7,1,10,112,39077936184,421385,600285928
cec,7,1,10,112,37766888458,392356,71381888
cec,7,1,10,112,36944970009,414744,161325680
cec,7,1,10,112,37430200586,395146,47540648
cec,7,1,10,112,37645650771,763806,29893064
cec,7,1,10,112,39092307429,403334,83688864
cec,7,1,10,112,44542023978,854371,260156768
cec,7,1,10,112,44342631211,886707,157722624
cec,7,1,10,112,38529445104,444439,29998464
cec,7,1,10,112,38460313276,432257,400345896
cec,7,1,10,112,40313956780,412357,56314568
cec,7,1,10,112,42793385364,467168,405723800
cec,7,1,10,112,37050850461,454131,456590896
cec,7,1,10,112,38938101349,459988,352863904
cec,7,1,10,112,36755743974,430534,322414080
cec,7,1,10,112,38695839461,364194,237873184
cec,7,1,10,112,32821310331,366384,248610544
cec,7,1,10,112,44124820041,387973,250291384
cec,7,1,10,112,35744132665,373429,25322328
cec,7,1,1,13,725730335,163902,98034848
cec,7,1,11,123,48884541700,422271,30567712
cec,7,1,11,123,45039337671,398636,260184976
cec,7,1,11,123,45441351390,395498,262362744
cec,7,1,11,123,48925294073,447671,59879528
cec,7,1,11,123,52652533366,634116,639034912
cec,7,1,11,123,55292180221,742673,158879160
cec,7,1,11,123,48885138650,657245,89106528
cec,7,1,11,123,49430813798,441576,433805976
cec,7,1,11,123,48669148965,396276,164201176
cec,7,1,11,123,49080755295,441474,363140520
cec,7,1,1,13,722697297,216292,646770040
cec,7,1,11,123,46928392116,420076,682048632
cec,7,1,11,123,46814729592,428257,443940352
cec,7,1,11,123,52192572985,791361,53767776
cec,7,1,11,123,57660418426,543173,52783808
cec,7,1,11,123,49717446237,463686,50273784
cec,7,1,11,123,48796434286,434918,623780904
cec,7,1,11,123,45459348821,404031,412362040
cec,7,1,11,123,53790743098,717908,215825136
cec,7,1,11,123,57525481099,729114,44616792
cec,7,1,11,123,49725242308,414923,63353520
cec,7,1,11,123,51404607220,492109,689805464
cec,7,1,1,13,745120524,227651,232276760
cec,7,1,11,123,46496844765,408023,291598488
cec,7,1,11,123,48907968277,457426,331566920
cec,7,1,11,123,49133442773,468336,236388472
cec,7,1,11,123,49166828958,493385,209263120
cec,7,1,11,123,47651503185,443778,426084032
cec,7,1,11,123,48446245351,429153,144838864
cec,7,1,11,123,49575864380,501336,147461240
cec,7,1,11,123,47364849659,443322,251765416
cec,7,1,11,123,46500318873,462274,35765608
cec,7,1,11,123,47115782968,462651,173158712
cec,7,1,11,123,50145787458,458542,264355408
cec,7,1,1,13,738750886,220475,217257448
cec,7,1,11,123,49969070991,471256,683216992
cec,7,1,11,123,50729054633,497803,80897968
cec,7,1,11,123,50802010441,404036,307953120
cec,7,1,11,123,49986103513,432256,53998016
cec,7,1,11,123,46670227958,413623,486415016
cec,7,1,11,123,46522557843,418158,381328592
cec,7,1,11,123,46724354327,397817,147215080
cec,7,1,11,123,47944821913,412508,60608672
cec,7,1,11,123,50595173443,392963,221134144
cec,7,1,11,123,47483642488,426077,425616336
cec,7,1,11,123,48386374356,412054,24018696
cec,7,1,1,13,702031029,222005,164781576
cec,7,1,11,123,51660193268,438564,347250272
cec,7,1,11,123,46428195881,420500,388855368
cec,7,1,1,13,753792301,221049,316351096
cec,7,1,11,123,47649951888,575033,322074712
cec,7,1,1,13,709133885,237298,617792056
cec,7,1,11,123,54914687506,502879,349399024
cec,7,1,1,13,737619564,206967,91482296
cec,7,1,11,123,52347418406,461861,70228928
cec,7,1,1,13,717394607,240788,640747768
cec,7,1,11,123,48478868913,447851,482979664
cec,7,1,1,13,731023583,206293,79319552
cec,7,1,11,123,49595949724,419797,256861096
cec,7,1,1,13,703772069,185085,138932384
cec,7,1,1,13,1037946689,495278,617884992
cec,7,1,12,134,62386581042,506562,39156392
cec,7,1,12,134,60377071313,456619,184603632
cec,7,1,12,134,60697722277,473656,58630640
cec,7,1,12,134,58273950901,432872,550499064
cec,7,1,12,134,59785788219,434745,538885784
cec,7,1,12,134,59116819008,420725,284327784
cec,7,1,12,134,63766241661,484895,669502472
cec,7,1,12,134,63708612375,484995,45427368
cec,7,1,12,134,65295107948,500219,617698224
cec,7,1,12,134,69030149839,968144,193523192
cec,7,1,1,13,779765441,395239,510297576
cec,7,1,12,134,64917422320,468440,267666864
cec,7,1,12,134,67886808374,1079430,289905712
cec,7,1,12,134,61774324977,577300,226523512
cec,7,1,12,134,66021666073,518333,363846856
cec,7,1,12,134,61005210729,451648,208246344
cec,7,1,12,134,66477091921,537925,306263768
cec,7,1,12,134,63403220652,478045,507284184
cec,7,1,12,134,60092083252,450167,72046056
cec,7,1,12,134,60125157024,471328,423452520
cec,7,1,12,134,61271067527,436547,123281328
cec,7,1,12,134,62385861859,427338,101593888
cec,7,1,1,13,912023797,586061,399606872
cec,7,1,12,134,59545480227,541158,456366216
cec,7,1,12,134,64888065273,552227,365352408
cec,7,1,12,134,64497939333,477370,498994056
cec,7,1,12,134,57682529469,445828,120996664
cec,7,1,12,134,62964828111,451927,506931200
cec,7,1,12,134,62263827770,471149,283794232
cec,7,1,12,134,64592197500,514666,58106248
cec,7,1,12,134,61732997887,595772,348230032
cec,7,1,12,134,62633407702,624076,179828864
cec,7,1,12,134,197816213616,3330145,211576152
cec,7,1,12,134,62626106026,509705,345631464
cec,7,1,1,13,747527057,307529,41365632
cec,7,1,12,134,60931747946,519554,205942816
cec,7,1,12,134,63096884450,474501,472902104
cec,7,1,12,134,61470803181,460981,526459704
cec,7,1,12,134,68552138674,908364,158714312
cec,7,1,12,134,63015998888,493491,295451464
cec,7,1,12,134,60163853580,468356,147851200
cec,7,1,12,134,61046908656,481777,365498240
cec,7,1,12,134,61517984769,427134,198206616
