engine,agents,sessions,motions,actions,narrative,holdsAt,memory
drools,7,1,94,1036,727899657,187227,16587360
drools,7,1,53,585,380480195,163942,16076608
drools,7,1,84,926,472881548,170226,16474872
drools,7,1,75,827,417487006,158916,16372704
drools,7,1,58,640,281486182,164146,16158040
drools,7,1,78,860,279380521,210690,16459720
drools,7,1,77,849,309884413,143051,16448144
drools,7,1,18,200,175158689,180867,15740656
drools,7,1,74,816,277148238,137109,16414920
drools,7,1,82,904,273229438,158754,16510288
drools,7,1,47,519,194665066,151707,16070384
drools,7,1,17,189,126337392,232147,15733032
drools,7,1,25,277,176185324,162410,15800288
drools,7,1,89,981,536868853,144609,16599888
drools,7,1,15,167,171138015,203170,15710968
drools,7,1,39,431,176990575,156901,15981576
drools,7,1,57,629,242266608,158679,16697488
drools,7,1,67,739,214416568,176261,16828024
drools,7,1,76,838,314582299,152547,16951856
drools,7,1,6,68,71049015,204006,16144952
drools,7,1,8,90,50818425,247222,16162832
drools,7,1,86,948,286983683,158017,17070624
drools,7,1,26,288,171783462,173996,16312608
drools,7,1,48,530,223584660,195953,16586288
drools,7,1,36,398,221555521,147594,16445136
drools,7,1,33,365,152489786,190746,16402224
drools,7,1,16,178,134881149,230822,16225672
drools,7,1,87,959,310366294,144625,17077816
drools,7,1,51,563,149326463,136262,16624800
drools,7,1,13,145,95750087,181363,16188520
drools,7,1,49,541,213076319,131050,16602152
drools,7,1,40,442,166134510,160493,16494280
drools,7,1,42,464,158402150,219428,16518096
drools,7,1,19,211,77009115,206320,17155072
drools,7,1,98,1080,264543288,183761,17740568
drools,7,1,28,310,104703388,137794,16867120
drools,7,1,85,937,279619214,162074,17584144
drools,7,1,71,783,198085240,138349,17419224
drools,7,1,91,1003,428787028,195323,17654856
drools,7,1,34,376,107884952,181341,16944952
drools,7,1,37,409,191013472,143852,16989256
drools,7,1,4,46,41199915,165374,16658816
drools,7,1,32,354,176965718,157194,16916536
drools,7,1,52,574,152909300,164552,17168064
drools,7,1,27,299,120165685,156329,16857648
drools,7,1,31,343,113690284,154491,16905328
drools,7,1,64,706,181844263,162640,17309968
drools,7,1,35,387,111684524,152141,16966752
drools,7,1,23,255,134110378,153177,16810328
drools,7,1,60,662,167581596,176564,17263160
drools,7,1,66,728,211254777,151189,17345968
drools,7,1,97,1069,282410808,155421,17732544
drools,7,1,88,970,278565671,152380,17621888
drools,7,1,9,101,60079405,185606,16705464
drools,7,1,22,244,110162633,183361,16799344
drools,7,1,3,35,51149874,184153,16666112
drools,7,1,69,761,219078418,141729,17381944
drools,7,1,65,717,183950926,173958,17326680
drools,7,1,11,123,61364289,188133,16698008
drools,7,1,79,871,216986518,178771,17516760
drools,7,1,63,695,171804553,202178,17299344
drools,7,1,45,497,125505168,181446,17085736
drools,7,1,21,233,83478683,164757,16787856
drools,7,1,44,486,173994699,167914,17074152
drools,7,1,38,420,118088475,159131,17003568
drools,7,1,24,266,133793346,147289,16823552
drools,7,1,61,673,168902454,142642,17276032
drools,7,1,43,475,159289837,153320,17062672
drools,7,1,92,1014,264129108,184898,17670584
drools,7,1,1,13,34853457,173501,16680128
drools,7,1,99,1091,459195972,168121,17758448
drools,7,1,14,156,138982529,171014,16735736
drools,7,1,5,57,52194086,173671,17202616
drools,7,1,81,893,268712232,151586,18076424
drools,7,1,55,607,185987198,199768,17741968
drools,7,1,68,750,197216700,143785,17907288
drools,7,1,56,618,155318632,149279,17754208
drools,7,1,7,79,45975642,151404,17217448
drools,7,1,96,1058,288299541,144897,18254952
drools,7,1,62,684,270752440,149021,17825512
drools,7,1,20,222,102101383,161229,17314088
drools,7,1,50,552,152075254,151631,18186336
drools,7,1,90,992,334136367,152989,18184720
drools,7,1,83,915,258908615,172994,18102728
drools,7,1,73,805,292202364,133047,17984584
drools,7,1,30,332,157369566,136414,17433376
drools,7,1,95,1047,299553615,144044,18244192
drools,7,1,46,508,133870495,166458,17636576
drools,7,1,29,321,110588563,142474,17421848
drools,7,1,59,651,294276643,171231,17791040
drools,7,1,72,794,230154908,138562,17973016
drools,7,1,2,24,47466009,177398,17207072
drools,7,1,93,1025,271642842,152824,18221840
drools,7,1,70,772,266288850,139102,17950760
drools,7,1,10,112,49939022,151660,17226928
drools,7,1,54,596,143433045,130809,17733832
drools,7,1,12,134,55446617,156744,17250440
drools,7,1,80,882,225655773,155594,18069184
drools,7,1,100,1102,372154959,150649,18309160
drools,7,1,41,453,108869870,141060,17579312
drools,7,1,86,948,344606166,151452,18139784
drools,7,1,9,101,55008883,205606,17246688
drools,7,1,66,728,202273284,136389,17887536
drools,7,1,70,772,196061038,140667,17951280
drools,7,1,45,497,227154571,143303,17626504
drools,7,1,31,343,132137167,137692,17447712
drools,7,1,27,299,108108390,140191,17400568
drools,7,1,85,937,229865232,162229,18128664
drools,7,1,48,530,145114821,148082,17662392
drools,7,1,90,992,298201053,116472,18187720
drools,7,1,28,310,138562374,118780,17413904
drools,7,1,42,464,131263914,113680,17593536
drools,7,1,62,684,167794984,110157,17830792
drools,7,1,64,706,164051399,105385,17854856
drools,7,1,88,970,250533903,107141,18166544
drools,7,1,35,387,139886047,137620,17512096
drools,7,1,100,1102,334125096,138275,18312872
drools,7,1,8,90,48463551,125689,17236320
drools,7,1,25,277,99624061,111558,17379920
drools,7,1,40,442,110964611,107900,17570976
drools,7,1,83,915,262329640,122612,18108128
drools,7,1,10,112,66250943,159284,17230824
drools,7,1,13,145,59236382,123273,17266448
drools,7,1,53,585,172978889,114583,17725736
drools,7,1,7,79,60869464,146232,17223880
drools,7,1,87,959,376188934,108877,18155432
drools,7,1,46,508,143027573,115280,17642024
drools,7,1,34,376,121756622,129035,17492328
drools,7,1,52,574,201346217,124997,17787160
drools,7,1,97,1069,337726298,140762,18278088
drools,7,1,17,189,105834185,140207,17316952
drools,7,1,77,849,262225333,119894,18038064
drools,7,1,16,178,85235204,139590,17304384
drools,7,1,56,618,149580719,121820,17761760
drools,7,1,11,123,70985835,182866,17243216
drools,7,1,98,1080,312138220,124615,18290008
drools,7,1,94,1036,256717878,109805,18238304
drools,7,1,37,409,120031436,113884,17536264
drools,7,1,51,563,172161427,117152,17702968
drools,7,1,71,783,255757709,106768,17967488
