engine,agents,sessions,motions,actions,narrative,holdsAt,memory
rule,7,1,1,13,1020649,875,13423504
rule,7,1,1,13,1009910,615,16107888
rule,7,1,1,13,987265,440,16107888
rule,7,1,1,13,954782,547,16107888
rule,7,1,1,13,923592,405,16107888
rule,7,1,1,13,989200,420,16107888
rule,7,1,1,13,3741496,1543,16107888
rule,7,1,1,13,1044553,570,16107888
rule,7,1,1,13,924291,487,16107888
rule,7,1,1,13,908847,472,16107888
rule,7,1,2,24,1879277,598,16107888
rule,7,1,2,24,1687705,425,16107888
rule,7,1,2,24,1682580,385,16107888
rule,7,1,2,24,1678388,410,16107888
rule,7,1,2,24,2844993,428,16107888
rule,7,1,2,24,1730920,485,16107888
rule,7,1,2,24,1825392,445,16107888
rule,7,1,2,24,2591935,870,16107888
rule,7,1,2,24,1765694,477,16107888
rule,7,1,2,24,3048878,617,16107888
rule,7,1,3,35,2372097,425,16107888
rule,7,1,3,35,2366621,403,18792512
rule,7,1,3,35,2405013,515,18792512
rule,7,1,3,35,2443506,467,18792512
rule,7,1,3,35,2574909,533,18792512
rule,7,1,3,35,2563509,840,18792512
rule,7,1,3,35,3956465,630,18792512
rule,7,1,3,35,2507548,430,18792512
rule,7,1,3,35,2437258,825,18792512
rule,7,1,3,35,10158404,670,18792512
rule,7,1,4,46,3106594,413,18792512
rule,7,1,4,46,3042525,480,21476888
rule,7,1,4,46,2918774,422,21476888
rule,7,1,4,46,3593597,395,21476888
rule,7,1,4,46,2870283,440,21476888
rule,7,1,4,46,2796520,412,21476888
rule,7,1,4,46,2801288,442,21476888
rule,7,1,4,46,2849125,410,21476888
rule,7,1,4,46,3321386,522,24161272
rule,7,1,4,46,2763753,448,24161272
rule,7,1,5,57,3481040,423,24161272
rule,7,1,5,57,3690272,460,24161272
rule,7,1,5,57,3300440,462,24161272
rule,7,1,5,57,3804424,487,24161272
rule,7,1,5,57,3149792,440,26845648
rule,7,1,5,57,3086718,463,26845648
rule,7,1,5,57,3009321,440,26845648
rule,7,1,5,57,2986118,435,26845648
rule,7,1,5,57,3628944,440,26845648
rule,7,1,5,57,2943854,3070,26845648
rule,7,1,6,68,3594213,487,29530528
rule,7,1,6,68,3519793,458,29530528
rule,7,1,6,68,4153463,460,29530528
rule,7,1,6,68,3574527,440,29530528
