simId,facilityCost,dataCost,knowledgeCost,measuringCost,nNcProsumers,totalut,endures,startroles,endroles,facilityTransfers,facilityInvoices,equity
1,1,0.0,0.0,0.0,0,164.38000000000017,1,23,3,122.72727272727451,117.0,0.34111769377016865
2,1,0.0,0.0,0.1,0,82.93999999999988,1,23,3,110.00000000000142,110.0,0.09612677139284287
3,1,0.0,0.1,0.0,0,1297.8399999999983,1,23,23,592.000000000015,397.0,0.8506489133756324
4,1,0.0,0.1,0.1,0,1089.4799999999925,1,23,23,592.0000000000149,397.0,0.7454996725332028
5,1,0.0,0.2,0.0,0,1272.8199999999817,1,23,23,790.9999999999878,397.0,0.1552252371488294
6,1,0.0,0.2,0.1,0,-92.0,1,23,3,85.59272727272797,54.1,2.410378567387859
7,1,0.0,0.3,0.0,0,-39.060000000000045,1,23,3,96.00000000000055,54.0,5.989720412089712
8,1,0.0,0.3,0.1,0,-94.89999999999985,1,23,3,91.01438016528999,50.7,2.42840307447434
9,1,0.0,0.4,0.0,0,-44.28000000000013,1,23,3,90.00000000000067,50.0,5.234158706962907
10,1,0.0,0.4,0.1,0,-96.49999999999997,1,23,3,92.65785123967022,48.3,2.40027244622833
11,1,0.0,0.5,0.0,0,-44.70000000000006,1,23,3,88.00000000000084,48.0,5.214871280861302
12,1,0.0,0.5,0.1,0,-96.81999999999996,1,23,3,95.22314049586873,47.0,2.4363239871474045
13,1,0.0,0.6,0.0,0,-44.640000000000015,1,23,3,89.0000000000009,47.0,5.442659826780559
14,1,0.0,0.6,0.1,0,-96.41999999999993,1,23,3,95.58413223140597,46.0,2.4834847924484205
15,1,0.0,0.7,0.0,0,-44.24000000000005,1,23,3,88.00000000000088,46.0,5.491602423816734
16,1,0.0,0.7,0.1,0,-96.33999999999996,1,23,3,93.22314049586873,45.0,2.450261277083201
17,1,0.0,0.8,0.0,0,-44.160000000000046,1,23,3,85.00000000000075,45.0,5.294208599885612
18,1,0.0,0.8,0.1,0,-96.24,1,23,3,102.19057851239744,45.0,2.5901174098028785
19,1,0.0,1.0,0.0,0,-43.46000000000005,1,23,3,84.00000000000078,44.0,5.371484344085278
20,1,0.0,1.0,0.1,0,-95.66,1,23,3,100.69421487603393,44.0,2.614318780124771
21,1,0.02,0.0,0.0,0,52.12000000000003,1,23,13,99.07272727272924,87.5,-0.17185934781447898
22,1,0.02,0.0,0.1,0,-13.380000000000027,1,23,3,85.7090909090925,80.5,4.837386173222141
23,1,0.02,0.1,0.0,0,1264.97999999999,1,23,23,631.6000000000103,397.0,0.9727689568302218
24,1,0.02,0.1,0.1,0,1090.799999999993,1,23,23,631.6000000000103,397.0,0.9039548248809051
25,1,0.02,0.2,0.0,0,1282.6199999999847,1,23,23,830.5999999999899,397.0,0.299259442909088
26,1,0.02,0.2,0.1,0,-88.74000000000012,1,23,3,95.1036363636373,55.7,2.3632555237957638
27,1,0.02,0.3,0.0,0,-77.22000000000037,1,23,13,154.40000000000066,93.9,1.0386344920963175
28,1,0.02,0.3,0.1,0,-95.03999999999996,1,23,3,95.39090909090994,51.0,2.2319982754506995
29,1,0.02,0.4,0.0,0,-80.96000000000048,1,23,13,147.60000000000082,88.8,1.0148336614284688
30,1,0.02,0.4,0.1,0,-96.26000000000012,1,23,3,99.85933884297621,49.0,2.2639513417182577
31,1,0.02,0.5,0.0,0,-82.24000000000039,1,23,13,145.20000000000107,86.6,1.0257147396031998
32,1,0.02,0.5,0.1,0,-96.76000000000002,1,23,3,96.31438016529036,47.0,2.2342029386410562
33,1,0.02,0.6,0.0,0,-81.1600000000003,1,23,13,141.4000000000012,84.0,1.0092916533287242
34,1,0.02,0.6,0.1,0,-96.74000000000001,1,23,3,97.80347107438119,46.0,2.2490625780006104
35,1,0.02,0.7,0.0,0,-81.70000000000036,1,23,13,140.4000000000012,83.0,1.016961215056462
36,1,0.02,0.7,0.1,0,-96.36000000000017,1,23,3,109.14198347107555,46.0,2.4044280955289237
37,1,0.02,0.8,0.0,0,-79.80000000000031,1,23,13,136.20000000000104,81.0,1.0335393085169386
38,1,0.02,0.8,0.1,0,-95.94000000000014,1,23,3,104.18429752066228,45.0,2.3668651907697607
39,1,0.02,1.0,0.0,0,-79.78000000000031,1,23,13,135.2000000000011,80.0,1.0284301434600172
40,1,0.02,1.0,0.1,0,-95.66000000000012,1,23,3,103.03851239669511,44.0,2.377768443113207
41,1,0.04,0.0,0.0,0,17.68599999999999,1,23,13,102.13818181818367,77.9,-1.305020446305516
42,1,0.04,0.0,0.1,0,-32.20000000000004,1,23,3,79.32000000000117,65.9,2.1172108627192685
43,1,0.04,0.1,0.0,0,1273.5800000000015,1,23,23,671.2000000000029,397.0,0.8881188502761004
44,1,0.04,0.1,0.1,0,1079.0200000000004,1,23,23,671.2000000000029,397.0,0.9393679420572587
45,1,0.04,0.2,0.0,0,1275.839999999986,1,23,23,870.1999999999837,397.0,0.42880645234321346
46,1,0.04,0.2,0.1,0,-84.08,1,23,3,109.10000000000097,57.7,2.1903242764130093
47,1,0.04,0.3,0.0,0,-67.17999999999992,1,23,13,162.0000000000011,86.0,1.0934456459928057
48,1,0.04,0.3,0.1,0,-95.55999999999992,1,23,3,100.00000000000067,51.0,2.0068871996363837
49,1,0.04,0.4,0.0,0,-70.87999999999997,1,23,13,149.3600000000013,78.4,1.0605425498445207
50,1,0.04,0.4,0.1,0,-96.64000000000004,1,23,3,102.45454545454619,49.0,2.081573345292889
51,1,0.04,0.5,0.0,0,-72.49999999999989,1,23,13,149.2000000000013,77.0,1.0277676368757955
52,1,0.04,0.5,0.1,0,-96.18,1,23,3,104.95454545454635,47.7,2.1475957027438413
53,1,0.04,0.6,0.0,0,-70.71999999999983,1,23,13,141.4000000000014,73.0,1.0400977060502163
54,1,0.04,0.6,0.1,0,-96.79999999999991,1,23,3,99.61818181818283,46.0,2.0855580027443716
55,1,0.04,0.7,0.0,0,-70.43999999999987,1,23,13,140.54000000000138,72.1,1.0452550257786017
56,1,0.04,0.7,0.1,0,-96.56000000000003,1,23,3,109.99024793388548,46.0,2.205094144330816
57,1,0.04,0.8,0.0,0,-75.69999999999995,1,23,13,153.40000000000128,77.0,1.064797943560461
58,1,0.04,0.8,0.1,0,-96.32000000000001,1,23,3,105.02909090909195,45.0,2.168772302797687
59,1,0.04,1.0,0.0,0,-68.67999999999985,1,23,13,135.00000000000128,69.0,1.0755422143889632
60,1,0.04,1.0,0.1,0,-95.61999999999999,1,23,3,103.43454545454648,44.0,2.207328271243816
